Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Short_definition,Long_definition,Reference,query,normalized_term
38,38,AD,Nīr Vēṭkai Nōy,நீர் வேட்கை நோய்,Thirst disease,,,nīr vēṭkai nōy nīr vēṭkai nōy nīr vēṭkai nōy nīr vēṭkai nōy நீர் வேட்கை நோய் நீர் வேட்கை நோய் நீர் வேட்கை நோய் நீர் வேட்கை நோய் thirst disease thirst disease thirst disease,nīr vēṭkai nōy
39,39,ADA,Vaḷi,வளி,Thirst disease classified under vali humour,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி thirst disease classified under vali humour thirst disease classified under vali humour thirst disease classified under vali humour,vaḷi
40,40,ADA1.1,Vaḷi Nīr Vēṭkai Nōy,வளி நீர் வேட்கை நோய்,Severe thirst due to vali,"It is characterised by morbid thirst, blackish discoloration of the body, tasteless, deafness, increased sleepiness and decreased vigour. It is explained by increased vali ( udanan,vyanan ) and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets af","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 272","vaḷi nīr vēṭkai nōy vaḷi nīr vēṭkai nōy vaḷi nīr vēṭkai nōy vaḷi nīr vēṭkai nōy வளி நீர் வேட்கை நோய் வளி நீர் வேட்கை நோய் வளி நீர் வேட்கை நோய் வளி நீர் வேட்கை நோய் severe thirst due to vali severe thirst due to vali severe thirst due to vali it is characterised by morbid thirst, blackish discoloration of the body, tasteless, deafness, increased sleepiness and decreased vigour. it is explained by increased vali ( udanan,vyanan ) and aẕal. among the seven uṭaṟtātukkaḷ cāram and seneer gets af k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 272",vaḷi nīr vēṭkai nōy
41,41,ADB,Aẕal,அழல்,Thirst disease classified under azhal humour,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் thirst disease classified under azhal humour thirst disease classified under azhal humour thirst disease classified under azhal humour,aẕal
42,42,ADB1.1,Aẕal Nīr Vēṭkai Nōy,அழல் நீர் வேட்கை நோய்,Thirst due to azhal,"It is characterised by increased body temperature, dryness of tongue, pricking pain and redness in uvula,palate.throat and tongue, burning sensation of tongue. It is explained by increased Aẕal and vali (udanan,vyanan). Among the seven Uṭaṟtātukkaḷ Cāra","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 273","aẕal nīr vēṭkai nōy aẕal nīr vēṭkai nōy aẕal nīr vēṭkai nōy aẕal nīr vēṭkai nōy அழல் நீர் வேட்கை நோய் அழல் நீர் வேட்கை நோய் அழல் நீர் வேட்கை நோய் அழல் நீர் வேட்கை நோய் thirst due to azhal thirst due to azhal thirst due to azhal it is characterised by increased body temperature, dryness of tongue, pricking pain and redness in uvula,palate.throat and tongue, burning sensation of tongue. it is explained by increased aẕal and vali (udanan,vyanan). among the seven uṭaṟtātukkaḷ cāra k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 273",aẕal nīr vēṭkai nōy
43,43,ADB1.2,Iraca Nīr Vēṭkai Nōy,இரச நீர் வேட்கை நோய்,Thirst during conversion of Cāram to blood may lead to fatal,"It is characterised by increased thirst, dryness of mouth due to haemorrhage, loss of intelligence and dyspnoea. It is explained by increased Aẕal, vali (udanan) and iyam. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No.273","iraca nīr vēṭkai nōy iraca nīr vēṭkai nōy iraca nīr vēṭkai nōy iraca nīr vēṭkai nōy இரச நீர் வேட்கை நோய் இரச நீர் வேட்கை நோய் இரச நீர் வேட்கை நோய் இரச நீர் வேட்கை நோய் thirst during conversion of cāram to blood may lead to fatal thirst during conversion of cāram to blood may lead to fatal thirst during conversion of cāram to blood may lead to fatal it is characterised by increased thirst, dryness of mouth due to haemorrhage, loss of intelligence and dyspnoea. it is explained by increased aẕal, vali (udanan) and iyam. among the seven uṭaṟtātukkaḷ cāram and cennīr gets affected. k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no.273",iraca nīr vēṭkai nōy
44,44,ADC,Aiyam,ஐயம்,Thirst disease classified under aiyam humour,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் thirst disease classified under aiyam humour thirst disease classified under aiyam humour thirst disease classified under aiyam humour,aiyam
45,45,ADC1.1,Aiya Nīr Vēṭkai Nōy,ஐய நீர் வேட்கை நோய்,Thirst due to aiyam,"It is characterised by obstruction in the throat, sweet taste in the tongue, dyspepsia, anorexia and ageusia. It is explained by increased iyam and decreased Aẕal and vali ( udanan ). Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 273","aiya nīr vēṭkai nōy aiya nīr vēṭkai nōy aiya nīr vēṭkai nōy aiya nīr vēṭkai nōy ஐய நீர் வேட்கை நோய் ஐய நீர் வேட்கை நோய் ஐய நீர் வேட்கை நோய் ஐய நீர் வேட்கை நோய் thirst due to aiyam thirst due to aiyam thirst due to aiyam it is characterised by obstruction in the throat, sweet taste in the tongue, dyspepsia, anorexia and ageusia. it is explained by increased iyam and decreased aẕal and vali ( udanan ). among the seven uṭaṟtātukkaḷ cāram and seneer gets affected. k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 273",aiya nīr vēṭkai nōy
46,46,ADC1.2,Ceriyā Nīr Vēṭkai Nōy,செரியா நீர் வேட்கை நோய்,Thirst due to dyspepsia.,"This is characterised by thirst due to consumption of increased sweet,salt,easily indigestible food during any illness or after a long walk . This can be explained by deranged Iyam influences Aẕal affects udanan. Among the seven Uṭaṟtātukkaḷ,Cāram to s","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 273","ceriyā nīr vēṭkai nōy ceriyā nīr vēṭkai nōy ceriyā nīr vēṭkai nōy ceriyā nīr vēṭkai nōy செரியா நீர் வேட்கை நோய் செரியா நீர் வேட்கை நோய் செரியா நீர் வேட்கை நோய் செரியா நீர் வேட்கை நோய் thirst due to dyspepsia. thirst due to dyspepsia. thirst due to dyspepsia. this is characterised by thirst due to consumption of increased sweet,salt,easily indigestible food during any illness or after a long walk . this can be explained by deranged iyam influences aẕal affects udanan. among the seven uṭaṟtātukkaḷ,cāram to s k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 273",ceriyā nīr vēṭkai nōy
47,47,ADD,Mukkuṟṟam,முக்குற்றம்,Thirst disease classified under mukkutram humour,,,mukkuṟṟam mukkuṟṟam mukkuṟṟam mukkuṟṟam முக்குற்றம் முக்குற்றம் முக்குற்றம் முக்குற்றம் thirst disease classified under mukkutram humour thirst disease classified under mukkutram humour thirst disease classified under mukkutram humour,mukkuṟṟam
48,48,ADD1.1,Mukkuṟṟa Nīr Vēṭkai Nōy,முக்குற்ற நீர் வேட்கை நோய்,Thirst in mukkuttram conditions,"It is characterised by fever, sanni, diabetes and dyspnoea with bad prognosis. It is explained by increase of vali, Aẕal and iyam. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ , Koẕuppu, Eṉpu, Mūḷai and sukkilam gets affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 273","mukkuṟṟa nīr vēṭkai nōy mukkuṟṟa nīr vēṭkai nōy mukkuṟṟa nīr vēṭkai nōy mukkuṟṟa nīr vēṭkai nōy முக்குற்ற நீர் வேட்கை நோய் முக்குற்ற நீர் வேட்கை நோய் முக்குற்ற நீர் வேட்கை நோய் முக்குற்ற நீர் வேட்கை நோய் thirst in mukkuttram conditions thirst in mukkuttram conditions thirst in mukkuttram conditions it is characterised by fever, sanni, diabetes and dyspnoea with bad prognosis. it is explained by increase of vali, aẕal and iyam. among the uṭaṟtātukkaḷ cāram, cennīr, ūṉ , koẕuppu, eṉpu, mūḷai and sukkilam gets affected. k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no 273",mukkuṟṟa nīr vēṭkai nōy
49,49,AE,Ūtal Nōy,ஊதல் நோய்,Anasarca,,,ūtal nōy ūtal nōy ūtal nōy ūtal nōy ஊதல் நோய் ஊதல் நோய் ஊதல் நோய் ஊதல் நோய் anasarca anasarca anasarca,ūtal nōy
50,50,AEA,Vaḷi,வளி,Anasarca classified under vali humour,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி anasarca classified under vali humour anasarca classified under vali humour anasarca classified under vali humour,vaḷi
51,51,AEA1.1,Vaḷi Ūtal Nōy,வளி ஊதல் நோய்,Oedema due to vali with pallor,"It is characterized by weight loss, pallor, dyspepsia, malaise, dyspnoea eeven on mild exertion, browning of hair, impaired sleeping. It is explained by increase of vali and decreased Aẕal (ranjagam). Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Ko","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 374-375","vaḷi ūtal nōy vaḷi ūtal nōy vaḷi ūtal nōy vaḷi ūtal nōy வளி ஊதல் நோய் வளி ஊதல் நோய் வளி ஊதல் நோய் வளி ஊதல் நோய் oedema due to vali with pallor oedema due to vali with pallor oedema due to vali with pallor it is characterized by weight loss, pallor, dyspepsia, malaise, dyspnoea eeven on mild exertion, browning of hair, impaired sleeping. it is explained by increase of vali and decreased aẕal (ranjagam). among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ and ko yugi munivar vaidhya chinthamani (perunool 800) first part; 1976, (2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 374-375",vaḷi ūtal nōy
52,52,AEB,Aẕal,அழல்,Anasarca classified under azhal humour,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் anasarca classified under azhal humour anasarca classified under azhal humour anasarca classified under azhal humour,aẕal
53,53,AEB1.1,Aẕal Ūtal Nōy,அழல் ஊதல் நோய்,Oedema due to azhal with icterus,"It is characterised by yellowish discoloration of eyes, eyebrow, nasal septum and hair,vomiting, dyspnoea, headache, difficulty in walking, giddiness and sweating. It is explained by increased Aẕal leading to increased iyam and vali (udanan,vyanan). Among","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 375","aẕal ūtal nōy aẕal ūtal nōy aẕal ūtal nōy aẕal ūtal nōy அழல் ஊதல் நோய் அழல் ஊதல் நோய் அழல் ஊதல் நோய் அழல் ஊதல் நோய் oedema due to azhal with icterus oedema due to azhal with icterus oedema due to azhal with icterus it is characterised by yellowish discoloration of eyes, eyebrow, nasal septum and hair,vomiting, dyspnoea, headache, difficulty in walking, giddiness and sweating. it is explained by increased aẕal leading to increased iyam and vali (udanan,vyanan). among yugi munivar vaidhya chinthamani (perunool 800) first part; 1976,(2nd ed.), chennai; dept of indian medicine & homeopathy, page no: 375",aẕal ūtal nōy
